1,IP11,11000000,12,2 mắt
2,IP12,12000000,16,3 mắt
3,IP13,13000000,14,3 mắt
4,IP14,14000000,6,4 mắt
5,IP15,15000000,22,5 mắt
6,IP16,16000000,23,6 mắt
1,IP11,11000000,12,2 mắt
2,IP12,12000000,16,3 mắt
3,IP13,13000000,14,3 mắt
4,IP14,14000000,6,4 mắt
5,IP15,15000000,22,5 mắt
6,IP16,16000000,23,6 mắt
1,IP11,11000000,12,2 mắt
2,IP12,12000000,16,3 mắt
3,IP13,13000000,14,3 mắt
4,IP14,14000000,6,4 mắt
5,IP15,15000000,22,5 mắt
6,IP16,16000000,23,6 mắt
1,IP11,11000000,12,2 mắt
2,IP12,12000000,16,3 mắt
3,IP13,13000000,14,3 mắt
4,IP14,14000000,6,4 mắt
5,IP15,15000000,22,5 mắt
6,IP16,16000000,23,6 mắt
