1,Chanel Bleu De Chanel,Chanel,Pháp,100ml,50,3250000,23:12:2022 07:00,null
2,Valentino Uomo Born In Roma,Valentino,Ý,100ml,70,2100000,23:12:2022 07:00,null
3,Chanel Gabrielle,Chanel,Pháp,50ml,24,2500000,23:12:2022 07:00,null
4,Dior Pure Poison,Dior,Pháp,30ml,27,1600000,23:12:2022 07:00,null
5,Chanel Coco Noir,Chanel,Pháp,100ml,12,3550000,23:12:2022 07:00,null
6,Dior Homme Parfum,Dior,Pháp,100ml,23,3300000,23:12:2022 07:00,null
7,Burberry My Burberry Blush,Burberry,Anh,100ml,43,2400000,23:12:2022 07:00,null
8,Burberry Mr. Burberry,Burberry,Anh,50ml,28,1600000,23:12:2022 07:00,null
9,Valentino Donna Born In Roma,Valentino,Ý,30ml,23,2400000,23:12:2022 07:00,null
10,Gucci Flora Gorgeous Jasmin,Gucci,Pháp,50ml,12,2700000,23:12:2022 07:00,null
